apt_number,apt_type,apt_ownership_type,ownerl_name,votes_per_owner,votes_per_apt,votes_by_sq_feet,ownership_start_date,gen_owner_name
77,apartment,residential,,1,1,65.1,01.06.2016,ownerName103
78,apartment,residential,,1,1,68.4,07.09.2016,ownerName191
79,apartment,residential,,1,1,77.6,13.05.2016,ownerName105
80,apartment,residential,,1,1,62.7,15.06.2016,ownerName106
81,apartment,residential,,1,1,64.8,23.01.2017,ownerName107
82,apartment,residential,,1,1,68.6,02.06.2016,ownerName108
83,apartment,residential,,1,1,77.7,14.04.2016,ownerName109
84,apartment,residential,,1,1,62.8,28.06.2016,ownerName110
85,apartment,residential,,1,1,65.1,09.06.2016,ownerName111
86,apartment,residential,,1,2,34.2,26.04.2016,ownerName112
86,apartment,residential,,1,2,34.2,26.04.2016,ownerName113
87,apartment,residential,,1,1,77.9,25.05.2016,ownerName114
88,apartment,residential,,1,1,62.8,21.06.2016,ownerName115
89,apartment,residential,,1,1,64.9,18.07.2016,ownerName116
90,apartment,residential,,1,1,68.5,09.06.2016,ownerName117
91,unknown,unknown,,,,,,unknown
92,apartment,residential,,1,1,62.6,11.05.2016,ownerName248
93,apartment,residential,,1,1,65,07.06.2016,ownerName121
94,apartment,residential,,1,1,68.5,07.06.2016,ownerName121
95,apartment,residential,,1,1,77.6,10.05.2016,ownerName122
96,apartment,residential,,1,1,62.7,10.05.2016,ownerName123
97,apartment,residential,,1,1,65,27.03.2018,ownerName124
98,apartment,residential,,1,1,68.3,14.06.2016,ownerName125
99,apartment,residential,,1,1,104,24.10.2016,ownerName126
100,apartment,residential,,1,1,73.9,07.06.2016,ownerName127
101,apartment,residential,,1,1,68.4,31.05.2016,ownerName128
102,apartment,residential,,1,1,69.8,26.05.2017,ownerName129
103,unknown,unknown,,,,,,unknown
104,apartment,residential,,1,1,44,10.03.2017,ownerName131
105,apartment,residential,,1,1,71.1,24.05.2017,ownerName132
106,apartment,residential,,1,1,70.3,25.05.2016,ownerName133
107,apartment,residential,,1,1,65.7,17.02.2017,ownerName134
108,apartment,residential,,1,1,44.3,03.07.2017,ownerName135
109,apartment,residential,,1,1,91.7,19.04.2016,ownerName136
110,unknown,unknown,,,,,,unknown
111,apartment,residential,,1,2,32.9,30.08.2016,ownerName138
111,apartment,residential,,1,2,32.9,30.08.2016,ownerName139
112,apartment,residential,,1,1,44.1,27.04.2016,ownerName140
113,apartment,residential,,1,1,91.3,02.06.2016,ownerName141
114,unknown,unknown,,,,,,unknown
115,apartment,residential,,1,1,65.4,03.11.2016,ownerName143
116,apartment,residential,,1,1,44.2,12.05.2016,ownerName273
117,apartment,residential,,1,2,45.65,23.08.2016,ownerName145
117,apartment,residential,,1,2,45.65,23.08.2016,ownerName146
118,apartment,residential,,1,1,70.2,28.06.2017,ownerName147
119,apartment,residential,,1,1,65.8,07.03.2017,ownerName148
120,apartment,residential,,1,1,43.9,05.05.2016,ownerName149
121,apartment,residential,,1,1,91.8,31.05.2016,ownerName150
122,apartment,residential,,1,1,70.1,26.09.2016,ownerName151
123,apartment,residential,,1,1,65.8,31.10.2016,ownerName152
124,apartment,residential,,1,1,44.4,29.11.2017,ownerName153
125,apartment,residential,,1,1,91.1,18.04.2017,ownerName154
126,apartment,residential,,1,1,70.3,11.08.2016,ownerName155
127,apartment,residential,,1,1,65.8,13.08.2018,ownerName156
128,apartment,residential,,1,1,44,28.07.2016,ownerName158
129,apartment,residential,,1,1,91.5,28.07.2016,ownerName158
130,apartment,residential,,1,1,70.3,29.08.2016,ownerName159
131,apartment,residential,,1,1,65.9,28.04.2016,ownerName163
132,apartment,residential,,1,4,11,06.06.2016,ownerName161
132,apartment,residential,,1,4,11,06.06.2016,ownerName162
132,apartment,residential,,1,4,11,28.04.2016,ownerName163
